5.365916747867845e-7	9.109190605185698e-7	1.332535215728555e-6	2.606324681628854e-6	3.45123103408446e-6	4.96365193278182e-6	5.4659907852629315e-6	6.887612564164015e-6	5.264126672543598e-6	4.174210144745373e-6	3.9338636650477e-6	-1.3830897419107174e-6	-5.812115044345582e-6	-1.8231468292922949e-6	-3.029204068424452e-7	-1.5232172552464828e-10	-6.9737742750316055e-12	-1.590389596847133e-11	-2.7635524721979985e-10	-4.1540672665927975e-9	-1.4830944619675187e-8	-3.974655094662232e-8	-2.4631872424970132e-8	-1.0394477679371368e-7	-1.5065223179537763e-7	-3.397250543386691e-7	-4.2052164464653156e-7	-2.0013814332886645e-7	-1.0993836710540853e-7	-5.6989808176950187e-8	-2.7141168408876745e-7	-2.3118615295113177e-7	-3.996238383542866e-7	-1.116979052586081e-6	6.067545097132804e-7	-1.0938093895798522e-6	-1.839408743796087e-6	-7.520315021891178e-7	-1.2698761990949728e-7	-1.523997755385276e-6
1.1677019011555219e-6	1.1878205514857408e-6	1.1116945919050804e-6	2.8326406873596405e-6	4.717216675327422e-6	4.034370290639279e-6	6.984699887154118e-6	9.594014628968098e-6	7.585757177031201e-6	1.0526256786786564e-5	6.556471199834803e-6	9.162413124215452e-6	3.848632567152177e-6	-3.1527081970463347e-6	-7.6249409550525026e-6	-2.626646583867514e-6	-2.1382650862929083e-8	-1.3142777113334251e-10	-3.040963833638609e-9	-3.2281204559300615e-8	-8.913194878602961e-8	-3.5718194492499755e-7	-2.4384950091807327e-7	-3.862900108700341e-7	-4.3496272630492907e-7	1.3904520167629802e-8	-7.209582340443653e-8	1.1480889125541549e-7	1.060960350742499e-7	-1.9835394296437462e-6	-3.520156120940957e-6	6.952215021662107e-7	-2.3917355455090744e-5	-1.4476472456762327e-5	-5.36079278298969e-6	2.7061847906887163e-5	7.113489213905061e-6	1.0392942474506117e-5	-7.563687631946536e-6	-1.1478518602194704e-5
1.6076676614447264e-6	1.82274559825551e-6	2.5124096494921495e-6	2.7595407783940346e-6	5.513686702303053e-6	6.014023710997941e-6	7.3854065089007034e-6	6.682713600157306e-6	8.463129624728706e-6	1.1226987899461485e-5	1.1152512019354383e-5	9.749953123507071e-6	1.1429202853227571e-5	8.103000963353285e-6	8.510871179904025e-6	-1.6199111008748796e-5	-1.2560195955811692e-5	-1.0067061315540065e-7	-1.814105683257806e-8	-1.3373505577996307e-7	-4.549078492304087e-7	-1.2915083194250162e-6	-6.864368387669417e-7	6.646591473545831e-7	-1.360925142788712e-6	-1.0244605490805029e-6	-5.923036244955514e-6	7.810943325513645e-6	-1.0915390363493496e-5	-1.1449542214932856e-5	-3.952712750209322e-5	-1.3295942038332731e-5	5.516256939078201e-6	3.127683387890018e-5	-1.388503027832666e-6	1.7833888662707742e-5	-1.5159264902392389e-5	-2.0375249881396384e-5	1.862713542438721e-7	8.535202709533674e-7
1.6672542862907098e-6	1.6930662262242512e-6	2.142282221572183e-6	4.334542097537801e-6	1.157118631055394e-6	7.426244542267993e-6	7.906161483958382e-6	8.040214951069921e-6	1.1045662811053764e-5	6.859309534213917e-6	1.0021503619355235e-5	1.2993199452557974e-5	1.913183912509442e-5	2.1237496624585545e-5	4.998257667129802e-6	1.2473450549353726e-6	-3.353142768872455e-5	-1.4527136851588077e-5	-2.6003728336301956e-7	-1.0370118875280819e-6	-3.06206594775189e-6	-5.934482336697033e-6	7.6876554438738e-7	-2.311097209331363e-6	-1.3895230045789589e-5	-4.488623828093757e-6	-3.820069369338264e-5	1.2339013274673127e-5	-2.6691412209796372e-5	-1.3276273526721671e-5	2.0032711383830004e-5	-3.0955814083952204e-5	-3.4339068047395394e-6	-2.1545736115374803e-5	4.5582938465460465e-6	-6.148327289998146e-6	-1.9150479813045962e-5	-1.7639995367191297e-5	-6.728329915786646e-6	-9.901011217491873e-6
1.8946511230028516e-6	4.331099925046749e-6	6.004362520964195e-6	4.690191174349691e-6	3.7357485540342322e-6	1.946419100114921e-6	7.839576291737357e-6	1.07616850543793e-5	1.5349083766144633e-5	1.0743800326392522e-5	1.374050423138054e-5	1.0781261408805698e-5	2.9178874485884243e-5	1.665852785576183e-5	1.8205804160238703e-5	7.218097105264609e-6	-1.334289558181656e-5	-2.897089293181325e-5	-1.59201097569867e-5	-5.551387766090845e-6	-7.62378909188819e-6	-1.0556404925546325e-5	7.477465369977454e-6	-1.8250970667491734e-5	-2.000548327257129e-5	-2.3542241290100407e-5	-1.3290041810110065e-7	-1.6063897174262154e-6	-9.411252159530203e-6	-2.648164456817148e-5	-3.2510697692972323e-5	-3.2673177314743174e-5	-2.4393937390898568e-5	-2.073109912903437e-5	-2.1018067928452178e-5	-1.965648238795581e-5	-2.682221090198611e-5	-2.417673266447151e-6	-5.3712302617789365e-5	-1.3685183628681097e-5
-9.42583955765991e-7	4.640776898510134e-6	5.025729859402597e-6	-4.46275449320771e-6	-2.6989050100692524e-6	5.59256390112936e-6	3.576956981478363e-6	-1.2059670211235496e-6	1.4639729858066663e-6	5.186368099308752e-6	1.3759393201629583e-5	1.4544733147915656e-5	1.5677005050021564e-6	2.3522378706300473e-5	1.128989642659034e-5	7.2231288875471145e-6	7.571417451335272e-7	-3.376396872593196e-5	-4.700571041345997e-5	-1.811251845664115e-5	-3.028433379721404e-5	-5.1378454984409017e-5	-4.180501214298693e-5	-5.798004437673754e-5	-2.089438214461503e-5	-2.0865707165557135e-5	-2.93354273164792e-5	-1.1292979355467803e-5	-1.1650796430048849e-5	-4.6466250985810476e-5	-5.202695479294972e-5	-3.6900712520326895e-5	-3.0640006590948454e-5	-3.354771538691126e-5	-4.7391827875248316e-5	-3.106714538403388e-5	7.892341294390981e-8	-6.871270588106049e-5	-5.8179312062422994e-5	-1.8686488988117755e-5
-1.0787065685136099e-5	-1.0517870211931846e-5	-1.969071878205747e-5	-2.0658007097475173e-5	-8.203024305826478e-6	-1.2373011144296842e-5	-8.145345834452422e-6	-1.7791874744321756e-5	-1.866555738097575e-5	-2.2439675985419516e-5	-3.919635612175537e-6	1.79349438945986e-5	3.31889610195521e-5	1.6112804450060803e-5	4.616102422180801e-6	-7.044381354279206e-7	-3.106765604325712e-6	7.30547241624413e-6	-1.702776618707838e-5	-1.639723675849608e-5	-2.171495134314222e-5	-4.309773458249788e-5	-2.1706950473210362e-5	-2.4960918748595518e-5	-2.3983605899891014e-5	-1.099161777221025e-5	-2.8342139832965296e-6	-3.959657905380776e-5	-7.372413009937295e-5	-6.096669176447467e-5	-6.463488598507094e-5	-5.103577716686347e-5	-3.939755206100459e-5	-5.790714912787265e-5	-4.390128885423117e-5	-6.171881582195393e-6	-0.0001049258401518427	-5.667674446083182e-5	-4.0249436812980766e-5	-4.184324653259963e-5
-1.0529960150357232e-5	7.914634117360542e-6	2.325914038193294e-5	-1.027070247426598e-5	4.1509927006105896e-7	1.1535960988545702e-5	-8.039835615834823e-6	1.0905317447684748e-6	-2.281288222563682e-5	-1.4366729377338072e-5	-3.786286280164919e-5	-2.5070525083020767e-5	-8.820730604264249e-6	-1.2713819255195935e-5	9.856795284493569e-6	6.090657492241469e-6	3.0936795009442464e-5	8.174775960323455e-6	-2.2219527650094162e-5	-2.5212814691935592e-5	-3.8109232566516105e-5	-3.786546813946967e-5	-3.852482894327325e-5	-2.1294590439938088e-5	-1.0273714387901145e-5	-3.977364770001157e-5	-8.91324546722222e-5	-0.00016076373956022683	-6.596832021615873e-5	-9.27194584131319e-5	-8.815487619398543e-5	-4.3835388877783155e-5	-0.00010229498454902841	-4.967689454238311e-5	-2.4084976634614064e-5	-9.430628587075995e-5	-4.687551453767813e-5	-1.7261487378350537e-5	-2.4799289141327896e-5	-4.486512615413385e-5
-2.4062820963219322e-5	-1.6078688402400287e-6	1.0371416995624133e-5	1.6877038503705644e-5	-1.1126411749405596e-5	1.3907944349141055e-5	1.5553648863644853e-5	6.516799361429293e-6	2.1749420840710965e-5	1.5029974877525665e-6	2.697832192019578e-5	-1.5780340359081158e-6	-6.366088212139687e-6	-5.278887678546174e-6	-1.5441149877823412e-5	2.4501301595231118e-5	2.413463038360847e-5	-1.6474484536982414e-5	-1.930151080197645e-5	-2.0003891121680994e-5	-2.144974736023597e-5	-2.5160591925893483e-5	-1.8456871231017913e-5	-1.612076466241119e-5	-4.440559573694325e-5	-0.0001464512810068347	-0.00014557520119917733	-0.0001576188506970111	-8.679980779274787e-5	-0.00010615460984200742	-3.620653473215829e-5	-0.00011043829479390199	-4.501420937386147e-5	3.0348986128012068e-5	-8.884893255151072e-5	-6.647431737005771e-5	-9.29497472913765e-6	-2.8939270684674723e-5	-4.8581320173310405e-5	-4.1689396075919594e-5
-1.1246906726249117e-5	-1.5818306950757255e-5	7.76042641606467e-6	1.0777110540788337e-5	-4.494616484551628e-6	1.0356675911836477e-5	1.5604154795546832e-5	6.512014777242114e-6	1.7129536179251448e-5	7.062597577080221e-6	3.630677410191435e-5	3.523658144780062e-5	1.3372767520072881e-5	1.1586030529073255e-5	4.9372875579600795e-6	3.41047947261669e-5	-1.4059549423121875e-5	-2.219809514154847e-5	-1.5806982459065644e-5	-2.514097003497584e-5	-2.283754023564566e-5	-2.762278687035158e-5	-1.4649805890956658e-5	-2.8166909993646017e-5	-1.8480789815145116e-5	-0.0002811075287476039	-0.00016450266713055606	-3.8757976862646704e-5	-8.239475508126093e-5	-3.387474762500675e-5	-1.3060203959969208e-5	-4.936055470611267e-5	-2.4268347748046537e-7	-5.057905483329961e-5	-9.11501950306981e-5	-3.64178424829692e-5	-1.1766490559672604e-5	-4.258214115517023e-5	-6.225968850713526e-5	-4.225251658968032e-5
